filename_i,date,citedby_count
1136,2017-12-31,3
1137,2017-12-31,55
1138,2017-12-31,6
1139,2017-12-31,4
1140,2017-12-31,23
1141,2017-12-31,21
1142,2017-12-31,1
1143,2017-12-31,0
1144,2017-12-31,4
1145,2017-12-31,3
1146,2017-12-31,13
1147,2017-12-31,4
1148,2017-12-31,4
1149,2017-12-31,1
1150,2017-12-31,0
1151,2017-12-31,0
1152,2017-12-31,4
1153,2017-12-31,12
1154,2017-12-31,7
1155,2017-12-31,2
1156,2017-12-31,3
1157,2017-12-31,3
1158,2017-12-31,0
1159,2017-12-31,0
1160,2017-12-31,5
1161,2017-12-31,6
1162,2017-12-31,3
1163,2017-12-31,8
1164,2017-12-31,3
1165,2017-12-31,3
1166,2017-12-31,15
1167,2017-12-31,6
1168,2017-12-31,4
1169,2017-12-31,2
1170,2017-12-31,4
1171,2017-12-31,4
1172,2017-12-31,2
1173,2017-12-31,3
1174,2017-12-31,11
1175,2017-12-31,7
1176,2017-12-31,3
1177,2017-12-31,3
1178,2017-12-31,1
1179,2017-12-31,0
1180,2017-12-31,0
1181,2017-12-31,4
1182,2017-12-31,1
1183,2017-12-31,8
1184,2017-12-31,12
1185,2017-12-31,10
1186,2017-12-31,2
1187,2017-12-31,11
1188,2017-12-31,0
1189,2017-12-31,1
1190,2017-12-31,21
1191,2017-12-31,7
1192,2017-12-31,4
1193,2017-12-31,8
1194,2017-12-31,86
1195,2017-12-31,1
1196,2017-12-31,0
1197,2017-12-31,0
1198,2017-12-31,7
1199,2017-12-31,1
1200,2017-12-31,2
1201,2017-12-31,1
1202,2017-12-31,2
1203,2017-12-31,7
1204,2017-12-31,4
1205,2017-12-31,15
1206,2017-12-31,2
1207,2017-12-31,1
1208,2017-12-31,2
1209,2017-12-31,1
1210,2017-12-31,12
1211,2017-12-31,6
1212,2017-12-31,0
1213,2017-12-31,1
1214,2017-12-31,0
1215,2017-12-31,51
1216,2017-12-31,3
1217,2017-12-31,0
1218,2017-12-31,17
1219,2017-12-31,3
1220,2017-12-31,1
1221,2017-12-31,0
1222,2017-12-31,1
1223,2017-12-31,20
1224,2017-12-31,4
1225,2017-12-31,0
1226,2017-12-31,1
1227,2017-12-31,0
1228,2017-12-31,1
1229,2017-12-31,1
1230,2017-12-31,0
1231,2017-12-31,0
1232,2017-12-31,0
1233,2017-12-31,0
1234,2017-12-31,0
1235,2017-12-31,2
1236,2017-12-31,0
1237,2017-12-31,0
1238,2017-12-31,0
1239,2017-12-31,0
1240,2017-12-31,0
1241,2017-12-31,0
1242,2017-12-31,1
1243,2017-12-31,1
1244,2017-12-31,0
